Title,Author,Date Read,Original Publication Year,My Rating,Number of Pages,Exclusive Shelf
"Dating and Dragons (Gaming and Romance, #2)",Kristy Boyce,2025-02-17,2024.0,3,,read
"The Rule Book (The Cheat Sheet, #2)",Sarah       Adams,2025-02-13,2024.0,3,356.0,read
Arya Khanna's Bollywood Moment,Arushi Avachat,2025-02-13,2024.0,4,320.0,read
"The Undermining of Twyla and Frank (Hart and Mercy, #2)",Megan Bannen,2025-02-13,2024.0,4,380.0,read
"Of Jade and Dragons (Fall of the Dragon, #1)",Amber Chen,2025-02-10,2024.0,4,470.0,read
Given Our History,Kristyn J. Miller,2025-02-07,2024.0,4,320.0,read
The Getaway List,Emma Lord,2025-02-02,2024.0,4,314.0,read
"Quicksilver (Fae & Alchemy, #1)",Callie Hart,2025-01-27,2024.0,3,624.0,read
The Wedding People,Alison Espach,2025-01-14,2024.0,5,367.0,read
"What's Next: A Backstage Pass to The West Wing, Its Cast and Crew, and Its Enduring Legacy of Service",Melissa Fitzgerald,2025-01-07,2024.0,4,608.0,read
The Slowest Burn,Sarah  Chamberlain,2025-01-03,2024.0,0,336.0,read
